date,fremont_bridge_nb,fremont_bridge_sb
2017-06-11T09:00:00.000,103,53
2017-06-05T02:00:00.000,1,0
2017-06-26T13:00:00.000,81,46
2017-06-09T17:00:00.000,537,136
2017-06-08T22:00:00.000,44,19
2017-06-09T15:00:00.000,125,41
2017-06-17T18:00:00.000,85,33
2017-06-27T04:00:00.000,5,2
2017-06-06T07:00:00.000,529,299
2017-06-04T19:00:00.000,71,37
2017-06-08T02:00:00.000,0,0
2017-06-11T14:00:00.000,208,101
2017-06-28T11:00:00.000,92,35
2017-06-13T19:00:00.000,208,71
2017-06-01T05:00:00.000,51,34
2017-06-20T15:00:00.000,278,202
2017-06-20T20:00:00.000,117,54
2017-06-14T08:00:00.000,545,318
2017-06-22T18:00:00.000,569,185
2017-06-29T06:00:00.000,172,102
2017-06-12T06:00:00.000,175,108
2017-06-12T05:00:00.000,54,32
2017-06-10T01:00:00.000,6,4
2017-06-30T11:00:00.000,135,74
2017-06-05T17:00:00.000,819,176
2017-06-19T01:00:00.000,0,0
2017-06-02T11:00:00.000,96,48
2017-06-22T20:00:00.000,198,82
2017-06-18T20:00:00.000,51,22
2017-06-07T23:00:00.000,24,12
2017-06-21T21:00:00.000,103,50
2017-06-01T11:00:00.000,77,37
2017-06-06T00:00:00.000,11,3
2017-06-30T05:00:00.000,47,31
2017-06-28T17:00:00.000,707,163
2017-06-27T17:00:00.000,771,199
2017-06-30T07:00:00.000,378,218
2017-06-09T04:00:00.000,5,3
2017-06-29T12:00:00.000,110,50
2017-01-18T01:00:00.000,0,0
2017-06-21T09:00:00.000,340,177
2017-06-08T21:00:00.000,51,26
2017-06-04T12:00:00.000,180,93
2017-06-02T12:00:00.000,101,45
2017-06-17T01:00:00.000,9,6
2017-06-27T20:00:00.000,160,60
2017-06-20T00:00:00.000,12,7
2015-11-21T02:00:00.000,0,0
2017-06-23T20:00:00.000,114,55
2017-06-09T06:00:00.000,117,61
2017-06-17T15:00:00.000,108,53
2017-06-17T03:00:00.000,2,1
2017-06-04T23:00:00.000,9,3
2017-06-27T00:00:00.000,13,4
2017-06-05T21:00:00.000,88,31
2017-06-17T17:00:00.000,147,89
2017-06-26T01:00:00.000,4,2
2017-06-05T03:00:00.000,2,1
2017-06-02T15:00:00.000,205,71
2017-06-24T06:00:00.000,31,13
2017-06-04T13:00:00.000,210,104
2017-06-14T10:00:00.000,137,57
2017-06-04T00:00:00.000,15,9
2017-06-09T12:00:00.000,75,36
2017-06-02T03:00:00.000,7,4
2017-06-12T18:00:00.000,462,122
2017-06-16T10:00:00.000,110,63
2017-06-24T09:00:00.000,177,101
2017-06-08T19:00:00.000,137,42
2017-06-12T07:00:00.000,436,273
2017-06-02T14:00:00.000,143,67
2017-06-26T15:00:00.000,162,61
2017-06-26T08:00:00.000,597,334
2017-06-10T20:00:00.000,102,50
2017-06-06T05:00:00.000,58,36
2017-06-16T17:00:00.000,526,135
2017-06-18T08:00:00.000,72,35
2017-06-03T07:00:00.000,49,23
2017-06-24T14:00:00.000,189,87
2017-06-19T19:00:00.000,208,69
2017-06-21T15:00:00.000,182,68
2017-06-01T16:00:00.000,351,94
2017-06-15T18:00:00.000,254,78
2017-06-04T03:00:00.000,8,6
2017-06-17T07:00:00.000,60,26
2017-06-10T15:00:00.000,243,142
2017-06-21T19:00:00.000,263,88
2017-06-15T16:00:00.000,169,49
2017-06-16T13:00:00.000,123,62
2017-06-25T11:00:00.000,212,114
